Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	abs_fc
DAB2	P98082	1.42584962964455	28.1398820436038	8.28023055151061	8.44416245965664e-08	0.000115671770720545	7.84707125799695	MKLN1_control-MKLN1_knockout	1.42584962964455
S100A4	P26447	3.24139298056783	30.8758466211911	8.24814512900105	8.96193593656157e-08	0.000115671770720545	7.79542827460638	MKLN1_control-MKLN1_knockout	3.24139298056783
NUP210	Q8TEM1	1.94765743367538	27.4308003023983	7.78377846961411	2.15303007547021e-07	0.000168797557916865	7.02964447790085	MKLN1_control-MKLN1_knockout	1.94765743367538
TRIO	O75962	-1.08505794212572	27.656530360617	-7.55719550191198	3.33665141892986e-07	0.000214031021926992	6.64340748224323	MKLN1_control-MKLN1_knockout	1.08505794212572
CPS1	P31327	2.68488276512353	29.5957293670831	7.24179859834856	6.21075187213457e-07	0.000335439824194962	6.09194020054014	MKLN1_control-MKLN1_knockout	2.68488276512353
CAVIN3	Q969G5	-0.849909494786253	28.7610093376002	-6.54386109478005	2.5760135348557e-06	0.00090881757509709	4.81457896321045	MKLN1_control-MKLN1_knockout	0.849909494786253
IGFBP7	Q16270	-0.863219375436096	28.3729380438106	-5.57136390925613	2.07777813600594e-05	0.00379507460997915	2.90981618021044	MKLN1_control-MKLN1_knockout	0.863219375436096
PLOD2	O00469	0.626999963378911	29.5753667336729	5.3987093022422	3.04552755393174e-05	0.00477538720456496	2.55794793737197	MKLN1_control-MKLN1_knockout	0.626999963378911
VAT1	Q99536	-0.787232034288071	29.9617191214359	-5.33029318056312	3.54688792100498e-05	0.00510751860624717	2.41750891503011	MKLN1_control-MKLN1_knockout	0.787232034288071
GALNT2	Q10471	0.814773484565567	29.722583440133	5.07327485637609	6.31367935480394e-05	0.00691065014923566	1.8852042515131	MKLN1_control-MKLN1_knockout	0.814773484565567
ANPEP	P15144	-1.70026225688321	28.5236120381435	-5.05355120111672	6.60102917673692e-05	0.00691065014923566	1.84406694663095	MKLN1_control-MKLN1_knockout	1.70026225688321
IQGAP2	Q13576	1.62792661620845	26.8572180729156	4.99676092038666	7.50496137821292e-05	0.00735486215064866	1.72540761574874	MKLN1_control-MKLN1_knockout	1.62792661620845
NFATC2IP	Q8NCF5	5.2314250111358	22.7754023460666	4.86926888416899	0.000100207676052557	0.00895019445856764	1.45793164860977	MKLN1_control-MKLN1_knockout	5.2314250111358
BCAT1	P54687	-5.96067956994886	24.3987221731238	-4.83888952366868	0.00010737432228258	0.00928019711877373	1.39398729705025	MKLN1_control-MKLN1_knockout	5.96067956994886
AKAP12	Q02952	-0.859593260540606	28.0996242442857	-4.72588066233604	0.000138916187706726	0.0107713474775677	1.15547471504588	MKLN1_control-MKLN1_knockout	0.859593260540606
NIT1	Q86X76	4.49612763347876	23.0993549673351	4.68874153810862	0.000151215106130358	0.0114728364393098	1.07688334095178	MKLN1_control-MKLN1_knockout	4.49612763347876
FN1	P02751	-2.09221831202787	28.1570648317157	-4.66006780725096	0.000161460443771226	0.0118673426171851	1.01614110999885	MKLN1_control-MKLN1_knockout	2.09221831202787
