Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast
GPD2	P43304	1.17358328063468	27.8776674843884	21.2015142167154	1.29963033266164e-12	3.183461147339e-09	19.0897930462199	RMND5A_control-RMND5A_knockout
PCID2	Q5JVF3	1.2242290799519	27.2228800490176	20.8801266634305	1.62350301482952e-12	3.183461147339e-09	18.8868312764088	RMND5A_control-RMND5A_knockout
KCTD12	Q96CX2	7.75476521037874	27.2255958991532	20.723742267418	1.81125463549101e-12	3.183461147339e-09	18.786702196285	RMND5A_control-RMND5A_knockout
RDX	P35241	1.04644297560932	29.4883320770302	17.7123908233623	1.75752126922598e-11	2.11376399948184e-08	16.6654094422277	RMND5A_control-RMND5A_knockout
BCAT1	P54687	-1.67297537129301	28.2204337256979	-17.2028648275918	2.67308384184156e-11	2.34910608021036e-08	16.2660384659047	RMND5A_control-RMND5A_knockout
RPN2	P04844	0.723689517279567	29.4574023937311	17.082009871404	2.9575211403235e-11	2.36279052556027e-08	16.169399153708	RMND5A_control-RMND5A_knockout
IMMT	Q16891	0.581047345224821	28.8923564566031	16.6146581663748	4.39992294143563e-11	2.97434790841049e-08	15.7885500359878	RMND5A_control-RMND5A_knockout
TPP2	P29144	0.820846267564367	28.1806901712914	15.9301168374465	8.02062669978714e-11	4.69901782918196e-08	15.2093797758295	RMND5A_control-RMND5A_knockout
HADHA	P40939	0.707487839387792	29.1635702155231	15.6395717421791	1.04216007962316e-10	5.3873545763108e-08	14.955529289986	RMND5A_control-RMND5A_knockout
CAD	P27708	0.6988008926361	29.1360415277614	15.4873399804618	1.19750096259978e-10	5.53875708385624e-08	14.8205419728061	RMND5A_control-RMND5A_knockout
PLA2G4A	P47712	2.59621675345906	27.8806246833659	15.4287953299683	1.263636909786e-10	5.55242058159969e-08	14.7682602496486	RMND5A_control-RMND5A_knockout
DARS1	P14868	0.735453040926345	29.7507135546054	15.2061061312091	1.5529264042661e-10	6.49799820633601e-08	14.5674942879858	RMND5A_control-RMND5A_knockout
EPHX1	P07099	1.86244001802685	29.2323329362759	15.1563524855425	1.62671780313373e-10	6.49799820633601e-08	14.522223095558	RMND5A_control-RMND5A_knockout
GSR	P00390	1.71544253561813	29.0245986618982	15.007333951304	1.87089807757956e-10	6.85411951592984e-08	14.3857087715118	RMND5A_control-RMND5A_knockout
LGALS3BP	Q08380	1.22179497491954	26.8979678398259	15.0067898617818	1.87185785596627e-10	6.85411951592984e-08	14.3852077886263	RMND5A_control-RMND5A_knockout
HPCAL1	P37235	1.38884832742888	28.3526738727324	14.6679287770728	2.58461896261539e-10	8.73601209364001e-08	14.069531999348	RMND5A_control-RMND5A_knockout
CAPG	P40121	1.25239878121368	28.7645589635143	14.5221019956305	2.97560147148107e-10	9.68503175236135e-08	13.9313949501385	RMND5A_control-RMND5A_knockout
LRPPRC	P42704	0.585661178397363	29.1745888744809	13.9401433646327	5.28674303961546e-10	1.49870638168196e-07	13.3659000085589	RMND5A_control-RMND5A_knockout
ROCK2	O75116	1.23288922712588	27.9837845313562	13.8827645692708	5.60127119440045e-10	1.53824910176222e-07	13.3088783892768	RMND5A_control-RMND5A_knockout
AKR1C3	P42330	3.00638759980061	30.5465694664145	13.8519070962888	5.77858161303549e-10	1.53885379440472e-07	13.2781168108846	RMND5A_control-RMND5A_knockout
AKR1C2	P52895	3.96226703463834	31.1210839606283	13.7505917867693	6.40388882471693e-10	1.65521691151801e-07	13.1766401015455	RMND5A_control-RMND5A_knockout
ATIC	P31939	0.413756259141756	30.1206888795458	13.6876335065321	6.8283479208643e-10	1.71450061510158e-07	13.1132111576079	RMND5A_control-RMND5A_knockout
DDOST	P39656	0.76938619035149	30.2277963582054	13.6395331018017	7.17272734907812e-10	1.75094244288052e-07	13.0645584224232	RMND5A_control-RMND5A_knockout
HAT1	O14929	0.737559152107078	29.2485733094308	13.5758890871425	7.65698977755604e-10	1.81863854500439e-07	12.9999253982802	RMND5A_control-RMND5A_knockout
RAB31	Q13636	1.58069719303057	27.5590702370272	13.4913146788332	8.35487976462213e-10	1.93217587819735e-07	12.9135784468495	RMND5A_control-RMND5A_knockout
SLC7A11	Q9UPY5	7.76254280694612	25.2355940484814	13.3593549205966	9.58197976151935e-10	2.1051609536058e-07	12.7777979261161	RMND5A_control-RMND5A_knockout
CUL4A	Q13619	1.06203579664772	27.8541043964184	13.3056514789064	1.01349112079031e-09	2.17233169987933e-07	12.7221678143986	RMND5A_control-RMND5A_knockout
UGDH	O60701	1.36109931922978	30.4388177693473	13.2397703388853	1.0859864315261e-09	2.27229732386938e-07	12.6536267325196	RMND5A_control-RMND5A_knockout
HADHB	P55084	0.640666013114913	28.5832315333827	12.9087867243013	1.54352615291951e-09	3.03975768995811e-07	12.304257284533	RMND5A_control-RMND5A_knockout
NOSIP	Q9Y314	-0.753156306878129	28.2039913230613	-12.9009667576087	1.55654410614605e-09	3.03975768995811e-07	12.2959001372235	RMND5A_control-RMND5A_knockout
SERPINB5	P36952	0.668501576827008	29.8382623635039	12.879410038043	1.59303651984846e-09	3.0433923774844e-07	12.2728377223502	RMND5A_control-RMND5A_knockout
RPE	Q96AT9	0.690981269492045	27.4982590491555	12.7876402355001	1.75885676536375e-09	3.28868792638652e-07	12.174247422057	RMND5A_control-RMND5A_knockout
PIR	O00625	1.75226182810133	28.7650308503864	12.7343794489655	1.86341109161139e-09	3.34197074960834e-07	12.1167214147482	RMND5A_control-RMND5A_knockout
DTYMK	P23919	0.796564918985219	28.4508070392239	12.694744549728	1.9454870863213e-09	3.41938810291832e-07	12.0737652669144	RMND5A_control-RMND5A_knockout
HSPD1	P10809	0.765768771946249	33.6141426291432	12.5613568232007	2.25107635189753e-09	3.80431903470682e-07	11.9282697693525	RMND5A_control-RMND5A_knockout
